ds,yhat,yhat_lower,yhat_upper
2025-06-12 20:24:44.945,5173.956209001526,1920.3202244077138,8801.207866022007
2025-06-12 20:24:47.946,5174.038477693094,1704.969696945026,9111.665814966907
2025-06-12 20:24:48.945,5174.0658640386055,1777.4365489421828,8787.659611297326
2025-06-12 20:24:51.946,5174.148132730174,1495.1217021973994,8809.04876936902
2025-06-12 20:24:52.951,5174.175683558241,1554.290017087494,8759.017880741343
2025-06-12 20:24:55.947,5174.257815181013,1693.4164276321756,8483.565493500748
2025-06-12 20:24:56.945,5174.285174112764,1382.5052337775571,8572.846219341549
2025-06-12 20:24:59.948,5174.3674976318525,1524.8457076590403,9200.306448505376
2025-06-12 20:25:02.973,5174.450424253643,1739.592704782193,8523.431638526035
2025-06-12 20:25:03.952,5174.477262323969,1498.7577142318287,9035.33403748055
2025-06-12 20:25:06.953,5174.559531114428,1566.46461564383,8466.174495643796
2025-06-12 20:25:07.946,5174.586753010105,1895.1371883510521,8811.041644045452
2025-06-12 20:25:10.949,5174.669076628148,1355.5368839772075,8826.262182525581
2025-06-12 20:25:11.966,5174.696956454839,1533.0971916706949,8813.974961047934
2025-06-12 20:25:14.952,5174.7788140384155,1475.9830084044722,8869.682916670889
2025-06-12 20:25:17.951,5174.861028001291,1379.0397165821983,8797.183568452154
2025-06-12 20:25:18.947,5174.888332138344,1577.0698269198463,8908.213215132142
2025-06-12 20:25:21.949,5174.970628342595,1628.6438338221353,8850.242652371426
2025-06-12 20:25:22.947,5174.997987307233,1497.0112000850563,8674.200911629663
2025-06-12 20:25:25.954,5175.080421086645,1356.1977742846188,8643.986265889536
2025-06-12 20:25:26.947,5175.107643149486,1781.5029495099088,8765.87728657912
2025-06-12 20:25:30.003,5175.191420212966,1472.5179207048943,8734.834700075113
2025-06-12 20:25:32.952,5175.272263982666,1543.4784891810764,8523.50161402418
2025-06-12 20:25:33.957,5175.299815013032,1541.2888600679821,8847.533066995655
2025-06-12 20:25:36.955,5175.3820020668,1839.3680104362481,8741.44209330289
2025-06-12 20:25:37.949,5175.4092515436005,1378.9181702739622,8951.74717450064
2025-06-12 20:25:40.952,5175.491575667171,1564.6584769983065,8700.640477328274
2025-06-12 20:25:41.960,5175.519208939418,1874.4902994238248,8767.010349572323
2025-06-12 20:25:44.994,5175.602383136764,1574.493976396443,8685.035451969316
2025-06-12 20:25:45.952,5175.628645787079,1465.4472089835633,8862.041457888901
2025-06-12 20:25:48.962,5175.711162047464,1763.9713307943907,8895.444388083386
2025-06-12 20:25:51.957,5175.7932670972505,1414.7428600186497,8506.468958572692
2025-06-12 20:25:52.952,5175.820544067045,1872.7879395371333,8819.553546129582
